ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
新宿区,紙おむつ・育児用品支給,おむつ費用助成,0,24,なし,現金給付,月額3000円,窓口 or オンライン,住民登録確認,0,,https://www.city.shinjuku.lg.jp/fukushi/file05_02_00006.html,2026-09-06,,定期便による現物配布ではなく費用助成(現金給付)方式
文京区,紙おむつ・育児用品支給,赤ちゃんファースト(東京都出産・子育て応援事業),0,0,なし,現物給付,10万円相当のポイントで育児用品等をオンラインで選択購入,オンライン(IDカード配布後),こんにちは赤ちゃん訪問の受診,0,,https://www.city.bunkyo.lg.jp/b027/p001523.html,2026-09-06,,東京都内共通の枠組みを文京区が実施。区独自のおむつ定期便は別途確認できず
台東区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/nenrei/0_years/index.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者向けのみ)
墨田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.sumida.lg.jp/online_service/sinsei/kourei/omutu.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者・障害者向けのみ)
江東区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.koto.lg.jp/222015/fukushi/shogaisha/service/nichijo/6707.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は障害者・高齢者向けのみ)
品川区,紙おむつ・育児用品支給,見守りおむつ定期便(0歳児見守り・子育てサポート事業),0,12,所得制限なし,現物給付,月1回程度の訪問で3000円相当の育児用品(紙おむつ・ミルク・離乳食等から選択)を配布・最大12回,オンライン,なし,1,満1歳になるまで(2023年4月1日以降生まれが対象),https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html,2026-09-06,,対面での見守り・相談も兼ねる事業
目黒区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.meguro.tokyo.jp/kosodatekyouiku/kosodate/shien/shienservice/index.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず
大田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.ota.tokyo.jp/seikatsu/fukushi/kourei/kyufu/kamiomutu.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(育児支援ヘルパー(1時間500円)はあるが現物給付ではない)
世田谷区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.setagaya.lg.jp/02244/1188.html,2026-09-06,,調査の結果、乳児向けの紙おむつ定期便等の現物支給制度は確認できず(せたがや子育て利用券は産前産後サービス券で用途が異なる)
渋谷区,紙おむつ・育児用品支給,紙おむつ購入費助成(渋谷区社会福祉協議会),,,要介護1以上または障害児等に限定,現金給付,商品価格の2割負担で紙おむつ購入可,渋谷区社会福祉協議会,要件確認書類,0,,https://www.shibuyashakyo.or.jp/chk/kamiomutsu-o.html,2026-09-06,,対象が要介護・障害児等に限定され一般の0歳児は対象外
中野区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.tokyo-nakano.lg.jp/kenko_hukushi/kourei/hokenhukushi/omutsu.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(おむつサービスは高齢者・障害者向けのみ)
杉並区,紙おむつ・育児用品支給,,,,乳幼児(3歳未満)は対象外と明記,,,,,0,,https://www.city.suginami.tokyo.jp/s036/8094.html,2026-09-06,,公式サイトで「乳幼児は対象外」と明記されている数少ない事例
豊島区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.toshima.lg.jp/203/kenko/shogai/zaitakushien/016102.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず
北区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.kita.lg.jp/socialcare-health/elderly/1008607/1008614.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず
荒川区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/shien/hokenfukushi.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず
板橋区,紙おむつ・育児用品支給,保育園おむつサブスク,0,,認可保育園等の利用者,現物給付,月額2000〜3000円程度で紙おむつ使い放題(保育園向け),各保育園経由,保育園利用登録,0,,https://sukusuku.tokyo-np.co.jp/hoiku/70729/,2026-09-06,,家庭への定期便ではなく保育園利用者限定のサブスク
練馬区,紙おむつ・育児用品支給,保育園おむつサブスク,0,,認可保育園等の利用者,現物給付,紙おむつ使い放題(保育園向け、詳細金額は要確認),各保育園経由,保育園利用登録,0,,https://sukusuku.tokyo-np.co.jp/hoiku/70729/,2026-09-06,,家庭への定期便ではなく保育園利用者限定のサブスク。約360施設へ拡大予定と報道
足立区,紙おむつ・育児用品支給,,,,所得制限撤廃の方針が報道されている(詳細未確認),,,,,0,,https://www.city.adachi.tokyo.jp/hisho/ku/kucho/20240216-mainichi.html,2026-09-06,,紙おむつ支給の対象拡大方針が報道されているが、乳児向け定期便の制度詳細は未確認。要再調査
葛飾区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002160.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(紙おむつ支給は3歳〜64歳の障害者向けのみ)
江戸川区,紙おむつ・育児用品支給,子育ておむつ定期便,0,12,なし,現物給付,見守り訪問員が毎月訪問し育児用品を配達(最大12回),オンライン申込,なし,1,2023年4月1日以降生まれの0歳児が対象(1歳になるまで),https://www.city.edogawa.tokyo.jp/e052/kosodate/kosodate/omutsuteikibin.html,2026-09-06,,見守り訪問と養育状況確認を兼ねる
千代田区,任意予防接種費用助成,おたふくかぜ任意予防接種費用助成(全額)/高校生以下インフルエンザ無料助成,12,72,なし,クーポン・利用料減免,"おたふくかぜは全額助成(自己負担なし)。高校生以下のインフルエンザ予防接種費用も無料",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/yobosesshu/nini/index.html,2026-09-06,,"23区の中でも珍しく「全額」助成。インフルエンザも高校生以下無料と手厚い"
中央区,任意予防接種費用助成,おたふくかぜ任意予防接種費用一部助成/小児インフルエンザ任意予防接種費用一部助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:1回4,000円助成(2回まで)。小児インフルエンザ:別途助成あり(金額は公式サイトで要確認)",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.chuo.lg.jp/a0031/kenkouiryou/iryou/yobousesshu/suitouotahukuitibujosei.html,2026-09-06,,
港区,任意予防接種費用助成,おたふくかぜ予防接種/男性HPV/こどもインフルエンザ助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:2026年7月1日開始、1回あたり7,000円引き(自己負担額は医療機関により異なる)。男性HPV・小児インフルエンザも別途助成あり",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.minato.tokyo.jp/hokenyobou/yobousessyu/otafukukaze.html,2026-09-06,,
新宿区,任意予防接種費用助成,任意予防接種費用助成(対象ワクチン詳細不明),,,なし,,自治体指定ワクチンについて接種費用の助成があると公式サイトに記載あるが、対象ワクチン・金額の詳細ページには到達できず,,,0,,https://www.city.shinjuku.lg.jp/kenkou/index02_02_05_01.html,2026-09-06,,"助成制度自体は存在する可能性が高いが詳細未確認。本番反映前に新宿区保健予防課への確認を推奨"
文京区,任意予防接種費用助成,おたふくかぜ(令和8年度)/子どもインフルエンザ助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:1回3,000円助成(自己負担は接種費用との差額)。令和8年度は4/1〜翌3/31が助成期間",委託医療機関で予診票記入,母子健康手帳,1,毎年度4月1日〜翌年3月31日,https://www.city.bunkyo.lg.jp/b028/p002668.html,2026-09-06,,前年度に同助成を受けた人は対象外
台東区,任意予防接種費用助成,おたふくかぜ費用一部助成/小児インフルエンザワクチン接種費用助成,6,180,なし,クーポン・利用料減免,"おたふくかぜ:一部助成(予診票と接種費用の差額を自己負担)。小児インフルエンザ:1回2,300円助成、生後6か月〜中学3年生対象(13歳未満は2回、13歳以上は1回)",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/kenkou_iryou/yobousesshu/ninni/otahukuhiyoujosei.html,2026-09-06,,
墨田区,任意予防接種費用助成,おたふくかぜ任意予防接種費用一部助成/こどもインフルエンザ任意予防接種費用一部助成,12,96,なし,クーポン・利用料減免,"令和6年4月開始。対象は1歳〜就学前、および平成30年4月2日〜令和2年4月1日生まれで2回未接種の児童も対象(すでに1回接種済みなら対象外)。事前申請制で、申請後に予診票を受け取り協力医療機関で接種",オンライン/電話/区役所窓口で事前申請,母子健康手帳,1,接種前に事前申請が必要(申請なしで接種した分は助成対象外),https://www.city.sumida.lg.jp/kenko_fukushi/kenko/yobou_sessyu/kodomo/R6otafukukaze.html,2026-09-06,,他区と異なり「事前申請必須・後払い不可」という運用が特徴的
江東区,任意予防接種費用助成,こどもインフルエンザ予防接種助成(おたふくかぜの区独自助成は確認できず),,180,なし,クーポン・利用料減免,"インフルエンザ:生年月日により不活化ワクチン1回2,000円(2回まで)、経鼻生ワクチン1回4,000円。令和7年度分は令和8年1月31日で終了、年度ごとに再開の可能性あり",委託医療機関で区の予診票を使用,母子健康手帳,1,年度末(1月末頃)で毎年度の助成期間終了、翌年度の再開時期は要確認,https://www.city.koto.lg.jp/260501/kodomo/iryo/yobo/20240921.html,2026-09-06,,"調査の結果、おたふくかぜへの区独自助成は確認できず(依頼書発行の対象外と案内あり)。近隣の江戸川区とは対照的"
品川区,任意予防接種費用助成,おたふくかぜ/MR任意/インフルエンザ/男性HPV任意接種費用助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ・MR任意・インフルエンザ・男性HPVをまとめて助成。おたふくかぜは1回3,000円助成(2回まで)。品川区内契約医療機関限定",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.shinagawa.tokyo.jp/PC/kenkou/yobousessyu/hpg000027872.html,2026-09-06,,MRワクチン任意接種の全額助成もある点が他区と比べて手厚い
目黒区,任意予防接種費用助成,おたふくかぜワクチン予防接種費用助成,,,生活保護受給世帯・中国残留邦人等支援給付受給世帯は全額助成,クーポン・利用料減免,"契約医療機関の接種費用から区の助成額を差し引いた額を自己負担(具体的な助成金額は公式サイトで要確認)。生活保護世帯等は全額免除",委託医療機関で予診票提示,"母子健康手帳・乳幼児医療証・本人確認書類",0,,https://www.city.meguro.tokyo.jp/hokenyobou/kenkoufukushi/yobousesshu/otafuku.html,2026-09-06,,助成額の具体的な金額は検索結果からは未確認。生活保護世帯等への全額免除は他区にもある一般的な配慮
大田区,任意予防接種費用助成,こどもインフルエンザ予防接種費用助成(おたふくかぜの区独自助成はなし),,,なし,クーポン・利用料減免,"おたふくかぜは特別な助成制度なし(全額自己負担)。こどもインフルエンザ予防接種費用の一部助成と男性HPVワクチン接種費用助成は実施",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.ota.tokyo.jp/seikatsu/hoken/yobou_sessyu/kodomo/kodomo_infuru_yobou_sessyu_josei.html,2026-09-06,,"調査の結果、おたふくかぜへの区独自助成は確認できず。23区の中でおたふくかぜ助成がない区の一つ"
世田谷区,任意予防接種費用助成,おたふくかぜ予防接種費用助成/子どもインフルエンザ予防接種費用助成,12,72,なし,クーポン・利用料減免,"令和6年7月1日開始。1回あたり3,000円助成(2回まで)。開始日より前の接種は対象外",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.setagaya.lg.jp/02015/10846.html,2026-09-06,,
渋谷区,任意予防接種費用助成,子どもの任意予防接種(おたふくかぜ)費用助成,12,36,なし,クーポン・利用料減免,"対象年齢は1歳〜3歳。助成金額の詳細は公式サイト・地域保健課で要確認",区内医療機関で住所確認書類または乳幼児医療証を提示,住所確認書類または乳幼児医療証,0,,https://www.city.shibuya.tokyo.jp/kenko/iryo-kenko/yobo-sesshu/kodomo_ninni.html,2026-09-06,,対象年齢が「1歳〜3歳」とやや短め(他区は就学前までが多い)
中野区,任意予防接種費用助成,おたふくかぜ任意予防接種費用一部助成/小児インフルエンザ,12,72,なし,クーポン・利用料減免,"おたふくかぜ:助成額4,000円(接種費用との差額を医療機関窓口で自己負担)",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.tokyo-nakano.lg.jp/dept/407000/d001732.html,2026-09-06,,区外医療機関で接種した場合は事後申請(償還払い)にも対応
杉並区,任意予防接種費用助成,おたふくかぜ予防接種一部費用助成/小児インフルエンザ予防接種費用助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:助成額4,000円。対象は満1歳〜小学校就学前の3月31日まで",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.suginami.tokyo.jp/s047/968.html,2026-09-06,,
豊島区,任意予防接種費用助成,おたふくかぜ予防接種(任意)/小児インフルエンザ任意接種一部助成,12,36,なし,クーポン・利用料減免,"1回目は無料。令和7年4月から2回目も一部助成開始(助成額3,000円)。対象は1歳〜3歳の誕生日前日まで",予診票が自動送付され委託医療機関で使用,母子健康手帳,0,,https://www.city.toshima.lg.jp/564/kenko/kenko/yobosesshu/029403.html,2026-09-06,,"1回目が完全無料なのは23区の中でも珍しい。新宿区の医療機関でも接種可能な広域連携あり"
北区,任意予防接種費用助成,おたふくかぜ(任意予防接種),12,72,生活保護世帯等は全額公費負担,クーポン・利用料減免,"協力医療機関の接種費用から助成額を差し引いた額を自己負担(具体的な助成額は公式サイトで要確認)。生活保護世帯等は全額助成",委託医療機関で予診票提示,"乳幼児医療証・母子健康手帳",0,,https://www.city.kita.lg.jp/children-edu/childcare/1018252/1018253/1018254/1002826.html,2026-09-06,,助成額の具体的な数字は検索結果からは未確認、要再確認
荒川区,任意予防接種費用助成,おたふくかぜ予防接種費用の助成,,,なし,クーポン・利用料減免,"助成額3,500円(予診票方式)。協力医療機関以外で接種した場合は接種日から1年以内に申請すれば償還払いも可能",委託医療機関で予診票提示(区外は事後申請),母子健康手帳,0,,https://www.city.arakawa.tokyo.jp/a033/ninshinshussan/joseikyuufu/otafukukaze.html,2026-09-06,,区外接種でも1年以内なら事後申請できる点が他区より柔軟
板橋区,任意予防接種費用助成,おたふくかぜワクチン任意接種助成事業,12,72,なし,クーポン・利用料減免,"1歳時と就学前1年間(年長)の2回、各回3,000円助成。対象者には予診票が自動送付される",委託医療機関で予診票提示,母子健康手帳,1,予診票の有効期限内のみ有効(期限外接種は助成対象外),https://www.city.itabashi.tokyo.jp/kenko/kenshin/yobou/1002621.html,2026-09-06,,
練馬区,任意予防接種費用助成,おたふくかぜ予防接種費用助成,,,なし,クーポン・利用料減免,"助成額3,000円(予診票方式)。区が発行する予診票が必須で、接種日に区内住民登録が必要",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.nerima.tokyo.jp/hokenfukushi/hoken/yobo/kodomo_yobo/ninni/mumps.html,2026-09-06,,
足立区,任意予防接種費用助成,おたふくかぜワクチン任意予防接種費用一部助成,12,24,おたふくかぜ罹患歴なし・接種回数1回未満が条件,クーポン・利用料減免,"1歳の誕生日前日から2歳の誕生日前日までが対象。助成額4,000円(1回のみ、2回目は助成対象外)。令和5年4月開始",委託医療機関で予診票提示,母子健康手帳,1,対象年齢(1〜2歳)を過ぎると助成不可、開始前(令和5年4月1日より前)の接種は遡って助成されない,https://www.city.adachi.tokyo.jp/hoken/otafuku.html,2026-09-06,,"23区で唯一「1回のみ」助成、2回目は自己負担という制限がある区"
葛飾区,任意予防接種費用助成,おたふくかぜワクチンの全額助成,12,72,なし,クーポン・利用料減免,"全額助成(自己負担なし)。1回目は1歳の間、2回目は就学前年度中に接種。ワクチン不足に伴い一部年代は接種期間が令和8年3月31日まで延長",委託医療機関で予診票提示,母子健康手帳,1,1回目は1歳の間、2回目は就学前年度末まで(一部延長あり),https://www.city.katsushika.lg.jp/kenkou/1000050/1001800/1020098.html,2026-09-06,,千代田区と並び「全額助成」の区。差別化ポイントとして目立つ
江戸川区,任意予防接種費用助成,おたふくかぜワクチン任意接種費用の一部助成(区独自事業),12,84,なし,クーポン・利用料減免,"接種1回につき上限3,000円を2回まで助成。令和8年度は小学1年生も特例で対象に追加(令和9年3月31日まで延長)",委託医療機関で予診票提示,母子健康手帳,1,通常は就学前年度まで、令和8年度は小1特例で令和9年3月31日まで延長,https://www.city.edogawa.tokyo.jp/e054/kenko/iryo/yobosesshu/otahuku.html,2026-09-06,,区が「区独自事業」と明記している
千代田区,産前産後家事育児支援ヘルパー,育児支援訪問事業,-9,12,所得に応じて利用料が変動(具体額は要確認),クーポン・利用料減免,"年間合計60時間まで(多胎児は120時間まで)利用可能。料金は所得に応じて変動(具体額は公式ページに記載なし、要確認)",窓口,母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/ninshin/homon.html,2026-09-06,,母子健康手帳取得時から子が1歳未満が対象。親族等の支援者がいないことが条件
中央区,産前産後家事育児支援ヘルパー,育児支援ヘルパー,-9,6,料金は時間・所得により変動(具体額要確認),クーポン・利用料減免,"1回2〜3時間、妊娠・出産ごとに15回まで利用可能(多胎児は人数分に応じて回数増加)",窓口(子ども家庭支援センターきらら中央),母子健康手帳,0,,https://www.city.chuo.lg.jp/a0025/kosodate/shussan/shussanshien/ikujisien.html,2026-09-06,,母子健康手帳取得時から産後6ヶ月までが対象
港区,産前産後家事育児支援ヘルパー,港区産前産後家事・育児支援サービス,-9,36,非課税世帯は半額,クーポン・利用料減免,"単胎児は1時間1,000円(非課税世帯は半額)。妊娠中〜1歳前日まで128時間、1〜2歳前日まで48時間、2〜3歳前日まで48時間利用可能。電子クーポンで自動更新",オンライン(事前ID登録要)/子ども家庭支援センター,母子健康手帳,0,,https://www.city.minato.tokyo.jp/kosodatesien/kenko/ninshin/shussan/mama-support.html,2026-09-06,,妊娠中から子が3歳になる前日まで利用可能
新宿区,産前産後家事育児支援ヘルパー,産前産後支援事業,-9,12,住民税非課税世帯等は減額・免除,クーポン・利用料減免,"産後ドゥーラは1時間1,500円、ヘルパーは1時間1,000円(所得等に応じて減免あり)",窓口(子ども家庭部)/オンライン,母子健康手帳,0,,https://www.city.shinjuku.lg.jp/kodomo/file03_02_00001.html,2026-09-06,,前日17時以降のキャンセルは1時間分のキャンセル料が発生
文京区,産前産後家事育児支援ヘルパー,おうち家事・育児サポート事業,0,36,なし(要確認),クーポン・利用料減免,年齢区分ごとにサポート券2枚(2時間相当)分が無料,窓口,母子健康手帳,0,,https://www.city.bunkyo.lg.jp/b022/p001690.html,2026-09-06,,満3歳未満の乳幼児が対象。ふたごちゃん・みつごちゃん向けの別制度もあり
台東区,産前産後家事育児支援ヘルパー,産前産後支援ヘルパー"あったかハンド"(一般向け),0,36,なし(要確認),クーポン・利用料減免,1時間300円(月〜土9時〜17時利用可能),窓口,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/nenrei/ninshin/soudan_shien/helper_ippan.html,2026-09-06,,母子健康手帳取得時から子が3歳未満まで利用可能。多胎世帯向けの別枠あり(令和7年4月に制度拡充)
墨田区,産前産後家事育児支援ヘルパー,家事・育児サポーター事業,-9,24,要確認,クーポン・利用料減免,料金の具体額は公式ページに明記なし(要確認)。掃除・買い物・沐浴補助・授乳補助等に対応,窓口(事前登録要),母子健康手帳,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/sodan/kajiikuji.html,2026-09-06,,妊娠中および2歳までの子がいる家庭が対象。事由は問わない
江東区,産前産後家事育児支援ヘルパー,こうとう家事・育児サポート事業,0,,要確認,クーポン・利用料減免,子どもの年齢によって利用可能時間の上限が変動(具体的な料金額は公式ページで要確認),窓口(こども家庭支援課),母子健康手帳,0,,https://www.city.koto.lg.jp/281012/kajiikuji-kateihoumon.html,2026-09-06,,多胎児家庭向けの訪問支援事業(ドゥーラ、妊娠中〜1歳未満で240時間)も別途あり
品川区,産前産後家事育児支援ヘルパー,すこやかサポート(育児支援ヘルパー),-1,12,あり(減免制度、詳細要確認),クーポン・利用料減免,"1時間410円(減免制度あり)。9時〜18時のうち連続4時間以内",窓口(家庭あんしんセンター),母子健康手帳,0,,http://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/hpg000023819.html,2026-09-06,,産前1ヶ月〜退院翌日から1年間利用可能。産後ドゥーラ助成(0〜1歳)や多胎児家庭向け助成は別制度
目黒区,産前産後家事育児支援ヘルパー,家事育児支援ヘルパー派遣事業,-9,,生活保護世帯・住民税非課税世帯は無料,クーポン・利用料減免,"1時間500円(初回6時間まで無料。生活保護・非課税世帯は無料)。1回2〜3時間",窓口,母子健康手帳,0,,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/sanzensangosien.html,2026-09-06,,出産間近の妊婦時から産後の家庭が対象
大田区,産前産後家事育児支援ヘルパー,産前産後家事・育児援助事業(にこにこサポート),-9,12,住民税非課税世帯・生活保護世帯は無料,クーポン・利用料減免,"住民税課税世帯は1時間1,000円(初回2時間無料)。非課税・生活保護世帯は無料",窓口(子育ち支援課),母子健康手帳,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo-nk.html,2026-09-06,,母子健康手帳交付後から産後1年に達する前日まで利用可能。産後ドゥーラが派遣される
世田谷区,産前産後家事育児支援ヘルパー,ふれあいサービス事業,-9,,要確認,クーポン・利用料減免,"利用料のほか年会費2,000円(3ヶ月以内の一時利用は1,000円)が必要。区が1回最大3,000円まで負担",世田谷区社会福祉協議会,母子健康手帳,0,,https://www.setagayashakyo.or.jp/service/fureai,2026-09-06,,多胎児家庭向けに「ツインズプラスサポート事業」も別途あり(2時間ごとの利用券方式)
渋谷区,産前産後家事育児支援ヘルパー,産前産後家事サポーター派遣事業,-9,36,非課税世帯は半額・生活保護世帯は免除,クーポン・利用料減免,"1時間1,100円(非課税世帯550円、生活保護世帯免除)。児童1人につき96時間まで",窓口/オンライン,母子健康手帳,0,,https://www.city.shibuya.tokyo.jp/kodomo/hoiku/hoiku-service/kajisapota.html,2026-09-06,,妊娠中から子が3歳の誕生日前日まで利用可能。往復交通費は無料
中野区,産前産後家事育児支援ヘルパー,産前産後家事・育児支援事業,-9,36,要確認,クーポン・利用料減免,"単胎児は40時間まで(上の子が3歳未満なら80時間まで)。多胎児は1歳未満150時間、1〜2歳120時間、2〜3歳90時間まで。料金は公式ページで要確認",オンライン申請(すこやか福祉センター),母子健康手帳,0,,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/syussan/sangoshien/sangokaji.html,2026-09-06,,ドゥーラ協会認定資格者が担当
杉並区,産前産後家事育児支援ヘルパー,産前・産後支援ヘルパー,-9,,住民税に応じて利用者負担あり,クーポン・利用料減免,料金は杉並子育て応援券(ゆりかご券含む)で支払い可能。具体的な時間額は公式ページで要確認,窓口(地域子育て支援課),母子健康手帳,0,,https://www.city.suginami.tokyo.jp/s054/1117.html,2026-09-06,,区内外24施設と提携。多胎児家庭向けヘルパーは別枠あり
豊島区,産前産後家事育児支援ヘルパー,としまいっしょに子育て 育児支援ヘルパー事業,-9,24,要確認,クーポン・利用料減免,"1回2〜4時間、毎日8時〜19時利用可能。1回の妊娠ごとに70時間まで(多胎児は160時間まで)。料金詳細は公式ページで要確認",窓口(子ども家庭支援センター),母子健康手帳,0,,https://www.city.toshima.lg.jp/265/kosodate/kosodate/shiencenter/022315.html,2026-09-06,,区内在住・2歳未満(産前も可)。産後ドゥーラ利用助成事業(妊娠中〜産後6ヶ月、12時間まで)は別制度
北区,産前産後家事育児支援ヘルパー,安心ママパパヘルパー事業,-9,,生活保護・非課税世帯は減免,クーポン・利用料減免,"単胎児はベビーシッター・産後ドゥーラともに1時間1,000円。多胎児はベビーシッター500円・産後ドゥーラ1,000円。初回は子1人につき各サービス2時間まで無料",窓口,母子健康手帳,0,,https://www.city.kita.lg.jp/children-edu/childcare/1002833/1002855/1003940.html,2026-09-06,,
荒川区,産前産後家事育児支援ヘルパー,(単胎向け制度は確認できず。多胎児向けのみ確認),,,,,,,,0,,https://www.city.arakawa.tokyo.jp/a035/kosodate/kosodateshien/twins_helper_r7.html,2026-09-06,,"調査の結果、単胎家庭向けの産前産後家事育児ヘルパー制度は確認できず。多胎児家庭向け「ツインズサポート事業」のみ確認(1時間300円、非課税半額、生活保護免除)。要再確認"
板橋区,産前産後家事育児支援ヘルパー,産前産後支援事業(産後ドゥーラ),-9,6,住民税非課税世帯は半額・生活保護世帯は免除,クーポン・利用料減免,"1時間1,300円(非課税半額、生活保護免除)。1回2〜4時間、上限30時間(多胎児は60時間)",窓口,母子健康手帳,0,,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/ninshin/1049534.html,2026-09-06,,妊娠中から産後6ヶ月未満が対象
練馬区,産前産後家事育児支援ヘルパー,育児支援ヘルパー,-9,24,生活保護・住民税非課税世帯は免除,クーポン・利用料減免,"1時間1,000円(低体重児出産・20歳未満出産は500円、多胎児は300円)。通常36時間、条件により104時間まで",窓口,母子健康手帳,0,,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/helper.html,2026-09-06,,妊娠中〜子が2歳になる月の末日まで利用可能
足立区,産前産後家事育児支援ヘルパー,産前・産後家事支援事業,-9,,要確認,クーポン・利用料減免,料金は事業者へ直接支払い(具体額は公式PDF「利用のご案内」で要確認)。前日24時間以内のキャンセルは1時間分のキャンセル料,窓口,母子健康手帳,0,,https://www.city.adachi.tokyo.jp/kodomokate/k-kyoiku/kosodate/homehelp-jigyou.html,2026-09-06,,
葛飾区,産前産後家事育児支援ヘルパー,子育て家庭等家事サポーター派遣事業,-9,36,要確認,クーポン・利用料減免,利用料の一部を補助(具体額は公式ページで要確認),窓口,母子健康手帳,0,,https://www.city.katsushika.lg.jp/kosodate/1000056/1002333/1025713.html,2026-09-06,,区内在住の妊婦、または3歳未満の子を養育する家庭が対象
江戸川区,産前産後家事育児支援ヘルパー,家事・育児支援事業「えどがわママパパ応援隊」,-9,36,一部減額制度あり,クーポン・利用料減免,"1時間500円(一部減額制度あり)。0歳児で保育サービス未利用の家庭は14時間まで無料",窓口,母子健康手帳,0,,https://www.city.edogawa.tokyo.jp/e077/kosodate/kosodate/mamapapa_ouentai.html,2026-09-06,,対象は区内在住の3歳未満の子どもがいる家庭、または多胎児の妊婦
千代田区,ひとり親家庭向け支援,ひとり親家庭等医療費助成(マル親)+高校生医療費肩代わり,0,216,所得制限あり(詳細は窓口で確認),現物給付,"マル親医療証で自己負担分を助成。区独自に、高校生年代の医療費自己負担分(通常200円/回)も区が肩代わりして実質無料化",窓口,健康保険証・戸籍謄本等,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/hitorioya/teate/hitorioya-i.html,2026-09-06,,高校生医療費の自己負担肩代わりは千代田区独自の上乗せ
中央区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+休養ホーム事業,0,216,所得制限あり,現物給付,"マル親医療証に加え、児童育成手当受給者向けに宿泊施設・日帰り施設・観劇等の利用料を一部助成する「休養ホーム事業」あり",窓口,健康保険証・戸籍謄本等,0,,https://www.city.chuo.lg.jp/a0020/kosodate/kosodate/hitorioya/teate/iryohizyosei.html,2026-09-06,,休養ホーム事業は複数区で確認される横並び制度の一つ
